ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,ax3,ay3,az3,gx3,gy3,gz3
7.71, -3.94, -6.65, 1.20, 0.42, 1.69, 1.03, 7.88, 4.99, 1.13, 1.46, 0.00, -0.23, 9.06, 3.35, 0.16, 0.14, -0.07
7.30, -3.08, -6.46, -1.13, -0.79, -2.02, 1.70, 7.06, 5.08, -1.54, -1.76, 0.51, -0.05, 9.52, 1.71, -0.43, -0.01, -0.04
8.76, -0.89, 0.19, 0.16, -0.31, -1.02, 3.42, 4.36, 6.83, -1.13, -1.26, -0.11, -0.29, 8.93, 3.31, -0.78, -0.02, -0.08
7.85, -5.24, 0.14, -0.48, -0.20, 1.88, 0.07, 7.89, 4.65, 1.66, 1.52, 0.25, -0.92, 7.81, 3.56, 0.51, 0.01, 0.20
7.82, -6.41, -0.33, 0.52, 0.11, -1.51, -0.77, 8.43, 4.02, -1.50, -1.04, 0.05, 0.05, 9.55, 0.74, -0.42, -0.17, -0.12
9.02, 1.63, 0.94, -0.08, -0.02, 0.01, 2.23, 8.80, 0.97, 0.08, -0.06, -0.05, 1.02, 9.45, -0.08, -0.05, 0.02, 0.00
9.66, 1.54, 0.97, -0.07, -0.00, 0.01, 2.15, 9.50, 0.93, 0.09, -0.03, -0.06, 0.90, 9.68, -0.07, 0.03, 0.02, -0.02
9.10, 2.65, 0.61, 0.02, -0.05, -0.59, 2.80, 9.13, 1.72, -0.21, -0.28, 0.19, 1.09, 9.86, -0.09, 0.01, 0.00, 0.01
10.49, 0.66, 0.48, -0.05, 0.00, -0.88, 2.04, 9.40, 1.68, -0.14, -0.33, 0.40, 0.87, 9.68, -0.43, 0.04, 0.08, 0.02
10.88, -0.34, 0.68, -0.52, -0.14, -0.29, 1.15, 9.72, 1.14, -0.10, -0.42, 0.04, 1.02, 9.65, -0.12, 0.09, -0.03, 0.02
9.93, 2.11, 0.11, -1.43, -0.44, -0.21, 2.57, 9.60, 0.74, -0.13, -1.01, -0.21, 1.27, 9.35, 0.27, 0.06, -0.01, 0.01
9.57, 1.56, 1.13, 0.55, 0.21, 0.16, 2.67, 9.16, 1.42, 0.27, 0.31, 0.06, 0.91, 9.76, -0.93, 0.07, 0.01, 0.01
9.72, 2.04, 0.71, 0.53, 0.09, -0.46, 2.60, 9.44, 0.56, -0.03, 0.24, 0.18, 1.18, 9.39, -0.07, 0.01, -0.06, -0.00
9.99, 0.03, 1.10, -1.28, -0.23, -0.39, 1.90, 9.53, 0.44, -0.12, -0.79, -0.05, 0.98, 9.59, -0.24, 0.05, 0.00, -0.02
8.95, 2.69, 0.62, -0.05, -0.15, -0.58, 2.67, 9.46, 0.71, -0.25, -0.33, 0.09, 1.25, 9.75, -0.09, -0.04, 0.02, 0.02
9.69, 0.90, 1.55, -0.11, -0.01, 0.04, 1.11, 9.65, -0.21, 0.05, -0.11, -0.07, 0.06, 9.56, -2.33, -0.01, -0.17, -0.04
9.77, 0.82, 1.17, 0.53, 0.16, 0.14, 1.01, 9.71, -0.20, 0.19, 0.50, -0.07, -0.17, 9.58, -2.15, 0.02, -0.14, 0.01
9.88, 0.64, 0.83, 0.89, 0.24, 0.24, 0.59, 9.76, -0.38, 0.25, 0.83, -0.08, -0.18, 9.61, -2.32, -0.01, -0.01, 0.03
9.97, 0.68, 0.24, 0.73, 0.18, 0.12, 0.33, 9.82, -0.50, 0.18, 0.71, 0.00, 0.16, 9.52, -2.05, 0.02, 0.07, -0.03
10.15, 0.64, -0.12, 0.38, 0.08, 0.04, 0.07, 9.86, -0.47, 0.14, 0.36, 0.01, -0.29, 9.57, -2.24, 0.03, 0.24, -0.04
10.11, 0.72, -0.21, 0.03, -0.03, -0.07, 0.04, 9.89, -0.55, 0.08, 0.05, 0.02, -0.25, 9.57, -2.18, 0.07, 0.17, 0.01
10.13, 0.78, -0.12, -0.45, -0.15, -0.09, -0.04, 9.86, -0.46, -0.02, -0.40, -0.02, -0.34, 9.58, -2.28, 0.01, 0.04, 0.00
9.89, 0.78, 0.45, -0.88, -0.23, -0.19, 0.44, 9.81, -0.45, -0.06, -0.78, 0.01, -0.19, 9.51, -1.95, -0.01, -0.00, -0.02
9.76, 0.96, 1.19, -0.80, -0.19, -0.15, 1.04, 9.70, -0.33, -0.04, -0.72, -0.04, -0.48, 9.55, -2.08, -0.01, -0.13, 0.02
9.70, 0.79, 1.62, -0.39, -0.17, -0.04, 1.16, 9.66, -0.37, 0.03, -0.30, -0.08, -0.27, 9.61, -2.18, 0.11, -0.24, 0.04
